Index,Class ID,Images Count,XC Recordings Count,Species Name,XC Species Name
0,315,116,169,Gadwall (Breeding male),Gadwall
1,317,120,243,Mallard (Breeding male),Mallard
2,333,105,112,Common Goldeneye (Breeding male),Common Goldeneye
3,352,120,283,Black-crowned Night-Heron (Adult),Black-crowned Night Heron
4,366,101,127,Common Gallinule (Adult),Common Gallinule
5,375,113,116,Anna's Hummingbird (Adult Male),Anna's Hummingbird
6,382,119,147,Northern Flicker (Yellow-shafted),Northern Flicker
7,400,117,335,Herring Gull (Adult),Herring Gull
8,450,120,365,Common Tern,Common Tern
9,481,111,134,Great Egret,Great Egret
10,491,106,138,Osprey,Osprey
11,513,101,353,Whimbrel,Whimbrel
12,527,117,339,Eurasian Collared-Dove,Eurasian Collared Dove
13,536,109,596,Barn Owl,Barn Owl
14,539,103,169,Great Horned Owl,Great Horned Owl
15,543,120,185,Barred Owl,Barred Owl
16,560,118,108,Hairy Woodpecker,Hairy Woodpecker
17,669,118,297,Dunlin (Nonbreeding/juvenile),Dunlin
18,746,120,208,Dark-eyed Junco (Slate-colored),Dark-eyed Junco
19,749,111,338,Fox Sparrow (Red),Fox Sparrow
20,753,119,298,American Robin (Adult),American Robin
21,756,120,262,Common Yellowthroat (Adult Male),Common Yellowthroat
22,764,119,146,White-throated Sparrow (White-striped),White-throated Sparrow
23,766,120,187,White-crowned Sparrow (Adult),White-crowned Sparrow
24,769,120,138,Chipping Sparrow (Breeding),Chipping Sparrow
25,774,109,213,Black-headed Grosbeak (Adult Male),Black-headed Grosbeak
26,775,111,127,Blue Grosbeak (Adult Male),Blue Grosbeak
27,776,102,102,Lazuli Bunting (Adult Male),Lazuli Bunting
28,777,120,125,Indigo Bunting (Adult Male),Indigo Bunting
29,783,120,108,Brown-headed Cowbird (Male),Brown-headed Cowbird
30,790,120,186,House Finch (Adult Male),House Finch
31,793,119,130,Lesser Goldfinch (Adult Male),Lesser Goldfinch
32,796,119,831,House Sparrow (Male),House Sparrow
33,802,116,627,Common Raven,Northern Raven
34,803,113,115,Horned Lark,Horned Lark
35,810,106,413,Barn Swallow,Barn Swallow
36,813,109,127,Mountain Chickadee,Mountain Chickadee
37,819,120,106,Tufted Titmouse,Tufted Titmouse
38,822,120,141,Bushtit,Bushtit
39,824,120,104,White-breasted Nuthatch,White-breasted Nuthatch
40,827,117,124,Brown Creeper,Brown Creeper
41,830,120,288,Carolina Wren,Carolina Wren
42,831,118,315,Bewick's Wren,Bewick's Wren
43,832,114,791,House Wren,House Wren
44,835,120,186,Marsh Wren,Marsh Wren
45,836,120,138,Blue-gray Gnatcatcher,Blue-grey Gnatcatcher
46,840,120,105,Ruby-crowned Kinglet,Ruby-crowned Kinglet
47,847,107,210,Swainson's Thrush,Swainson's Thrush
48,848,120,181,Hermit Thrush,Hermit Thrush
49,851,120,158,Gray Catbird,Grey Catbird
50,852,120,281,Northern Mockingbird,Northern Mockingbird
51,856,120,560,European Starling (Nonbreeding Adult),Common Starling
52,860,103,147,Ovenbird,Ovenbird
53,862,111,129,Northern Waterthrush,Northern Waterthrush
54,867,114,134,Orange-crowned Warbler,Orange-crowned Warbler
55,871,109,656,Hooded Warbler,Hooded Warbler
56,873,120,106,Northern Parula,Northern Parula
57,875,120,202,Yellow Warbler,Yellow Warbler
58,877,108,284,Pine Warbler,Pine Warbler
59,886,115,172,Yellow-breasted Chat,Yellow-breasted Chat
60,888,120,459,Spotted Towhee,Spotted Towhee
61,889,110,183,Eastern Towhee,Eastern Towhee
62,900,120,194,Savannah Sparrow,Savannah Sparrow
63,902,120,557,Song Sparrow,Song Sparrow
64,903,116,117,Lincoln's Sparrow,Lincoln's Sparrow
65,908,116,105,Dickcissel,Dickcissel
66,910,120,213,Western Meadowlark,Western Meadowlark
67,914,120,159,Great-tailed Grackle,Great-tailed Grackle
68,923,105,149,Western Wood-Pewee,Western Wood Pewee
69,926,119,108,Pacific-slope Flycatcher,Pacific-slope Flycatcher
70,944,100,101,Blue-headed Vireo,Blue-headed Vireo
71,946,112,175,Warbling Vireo,Warbling Vireo
72,947,120,130,Red-eyed Vireo,Red-eyed Vireo
73,949,120,152,Steller's Jay,Steller's Jay
74,950,120,212,Blue Jay,Blue Jay
75,957,117,223,American Crow,American Crow
76,964,119,156,American Redstart (Female/juvenile),American Redstart
77,965,105,112,Magnolia Warbler (Female/immature male),Magnolia Warbler
78,979,120,331,Northern Cardinal (Female/Juvenile),Northern Cardinal
79,987,120,337,Red-winged Blackbird (Female/juvenile),Red-winged Blackbird
